50,Standard Processor Machine Generator,Resource Generator,standard_processor_machine_generator,1,10,35138880,Machine used to generate technology resource,1000,1,10000,300,0,3,3
51,Advanced Processor Machine Generator,Resource Generator,advanced_processor_machine_generator,1,10,115371648,Upgraded version of Standard Machine Generator,2500,2,50000,1000,0,8,5
52,Nano Machine Generator,Resource Generator,nano_machine_generator,1,10,155301120,Machine that can generate resource from nowhere,5000,5,180000,2000,0,10,10
53,Electric Power Generator,Power Generator,electric_power_generator,1,13,200000,Elctric generator for government,1000000,0,0,1500,20000,5,5
54,Wind Power Generator,Power Generator,wind_power_generator,1,13,1000000,Power generator that drive by using wind flow to generate electric,1000000,0,0,1500,50000,5,5
55,Solar Power Generator,Power Generator,solar_power_generator,1,13,10000000,Power generator that drive by using sunlight to generate electric,1000000,0,0,1500,100000,5,5
56,Battery,Power Storage,battery,1,13,50000,Used to storage electricity,50000,0,0,0,0,1,1
57,Inverter,Power Storage,inverter,1,13,10000,Used to convert enery from Wind and Solar generator to be electric,0,0,0,0,0,1,1
58,Nano Battery,Power Storage,nano_battery,1,13,3750000,Upgrade version of Battery,200000,0,0,0,0,1,1
59,Shelves,Storage,shelves,1,11,10000,Use to storage resource,40,0,0,0,0,1,5
60,Container,Storage,container,1,11,75000,Upgrade version of Shelve,100,0,0,0,0,4,6
61,Technologt Research Lab,Research & Development,technologt_research_lab,1,15,400000,Used to research more kind of thechnology and unlock it,5000,0,0,0,0,8,8
62,Climate Control Device,Environmental Control,climate_control_device,1,16,10000,Used to control environmental in area of device,2500,0,0,0,0,2,2
