1,Electric Power,Power Component,Energy,null,electric_power,5,2,1,I,0.0005,null,0,null,0,null,0,null,6000,"The backbone of modern technology, Electric Power is harnessed to drive machines and power various electronic equipment. Its efficient energy utilization makes it a fundamental component in the cyber war"
2,Solar Power,Power Component,Energy,null,solar_power,5,2,3,III,0,null,0,null,0,null,0,null,0,"renewable energy source that converts sunlight into Electric Power, providing an eco-friendly alternative for sustainable technology"
3,Wind Power,Power Component,Energy,null,wind_power,5,2,3,III,0,null,0,null,0,null,0,null,0,A type of Power that will convert Wind blowing to Electric Power.
4,Electric Cells,Power Component,Power Cells,null,electric_cells,5,2,1,I,0,null,0,null,0,null,0,null,0,"These Power Cells store Electric Power efficiently, acting as a reliable and portable energy reservoir for devices and equipment used in the cyber war."
5,Bio Power Cells,Power Component,Power Cells,null,bio_power_cells,5,2,3,III,0,null,0,null,0,null,0,null,0,"Bio Power Cells offer a high-energy density, making them ideal for power-hungry cybernetic enhancements and advanced gadgets."
6,Thermoelectric Nano Generators (TNG-300),Nano Component,Nano Materials,Energy harvester,thermoelectric_nano_generators_tng-300,6,1,4,IV,250,null,0,null,0,null,0,null,5,"Utilizing advanced nanomaterials, these Energy Harvesters convert temperature differentials into Electric Power, enabling remote surveillance and covert operations."
7,Radioactive Decay Harvesters (RDH-300),Nano Component,Nano Materials,Energy harvester,radioactive_decay_harvesters_rdh-300,6,1,4,IV,300,null,0,null,0,null,0,null,5,"Extracting energy from radioactive isotopes, these Nano Harvesters power sophisticated cybernetic enhancements and ensure longevity for critical missions."
8,Solar Nanocells(SNc-300),Nano Component,Nano Materials,Energy harvester,solar_nanocellssnc-300,6,1,4,IV,250,null,0,null,0,null,0,null,5,"Nano Materials coated with Solar Power harvesting capability, these cells empower operatives with self-sustaining energy sources and long-lasting power."
9,Programmable Energy Redistribution (PER-350),Nano Component,Nano Materials,Programmable,programmable_energy_redistribution_per-350,6,1,3,III,152,null,0,null,0,null,0,null,7,"A cutting-edge Nano Component that allows users to control and redistribute energy flows, enabling tactical adjustments during cyber engagements."
10,Programmable Architectural Materials(PAM-350),Nano Component,Nano Materials,Programmable,programmable_architectural_materialspam-350,6,1,4,IV,350,null,0,null,0,null,0,null,5,"Advanced Nano Materials capable of dynamically altering their physical properties, providing adaptive camouflage and structural integrity for cybernetic operatives."
11,Programmable Nano Robotics(PNR-350),Nano Component,Nano Materials,Programmable,programmable_nano_roboticspnr-350,6,1,4,IV,350,null,0,null,0,null,0,null,5,"Tiny, versatile Nanobots capable of executing complex tasks, from espionage to self-repair, making them essential assets in the ever-evolving cyber battlefield."
